Genenames	KeggTerms
Cluster-2917.126645	ko04390
Cluster-2917.40051	ko04390
Cluster-2917.159413	ko04390
Cluster-2917.127158	ko04390
Cluster-2917.123669	ko04390
Cluster-2917.3928	ko04390
Cluster-1008.0	ko04390
Cluster-66756.0	ko04390
Cluster-2917.120618	ko04390
Cluster-2917.120722	ko04390
Cluster-2917.114799	ko04390
Cluster-2917.57803	ko04390
Cluster-2917.134362	ko04390
Cluster-2917.105601	ko04390
Cluster-2917.37452	ko04390
Cluster-2917.41990	ko04390
Cluster-48310.0	ko04390
Cluster-335.0	ko04390
Cluster-2917.41989	ko04390
Cluster-2917.51624	ko04390
Cluster-2917.87601	ko04391
Cluster-2917.123671	ko04391
Cluster-2917.120722	ko04391
Cluster-2917.126645	ko04391
Cluster-2917.159413	ko04391
Cluster-2917.123669	ko04391
Cluster-2917.127158	ko04391
Cluster-2917.164809	ko04391
Cluster-2917.3928	ko04391
Cluster-1008.0	ko04391
Cluster-2917.120618	ko04391
Cluster-2917.139970	ko04391
Cluster-2917.135962	ko04391
Cluster-51424.1	ko04630
Cluster-2917.128787	ko04630
Cluster-14810.0	ko04630
Cluster-2917.57803	ko04630
Cluster-2917.66505	ko04630
Cluster-2917.49434	ko04630
Cluster-2917.173008	ko04630
Cluster-2917.59714	ko04630
Cluster-2917.41802	ko04010
Cluster-2917.145704	ko04010
Cluster-2917.102131	ko04010
Cluster-2917.21682	ko04010
Cluster-2917.45905	ko04010
Cluster-51424.1	ko04010
Cluster-2917.140643	ko04010
Cluster-63626.0	ko04010
Cluster-2917.125094	ko04010
Cluster-65602.0	ko04010
Cluster-2917.88462	ko04010
Cluster-17946.0	ko04010
Cluster-2917.105675	ko04010
Cluster-2917.23286	ko04010
Cluster-1193.0	ko04010
Cluster-2917.135962	ko04010
Cluster-2917.81141	ko04010
Cluster-1259.0	ko04010
Cluster-67618.0	ko04010
Cluster-57856.0	ko04010
Cluster-2917.127369	ko04010
Cluster-2917.136236	ko04010
Cluster-2917.144376	ko04010
Cluster-2917.124824	ko04010
Cluster-66756.0	ko04010
Cluster-2917.110850	ko04010
Cluster-79132.0	ko04010
Cluster-29834.0	ko04010
Cluster-2917.104082	ko04010
Cluster-59433.0	ko04010
Cluster-63042.0	ko04010
Cluster-2917.161072	ko04010
Cluster-2917.117818	ko04010
Cluster-2917.145029	ko04010
Cluster-17946.0	ko04013
Cluster-1193.0	ko04013
Cluster-2917.26924	ko04013
Cluster-2917.145029	ko04064
Cluster-206.0	ko04064
Cluster-2917.140083	ko04064
Cluster-63042.0	ko04064
Cluster-2917.66505	ko04330
Cluster-10161.0	ko04330
Cluster-2917.88634	ko04330
Cluster-2917.22110	ko04330
Cluster-2917.30566	ko04330
Cluster-2917.19131	ko04330
Cluster-2917.164459	ko04330
Cluster-2917.144214	ko04330
Cluster-89551.1	ko04330
Cluster-75547.0	ko04330
Cluster-2917.2882	ko04151
Cluster-17946.0	ko04151
Cluster-2917.114929	ko04151
Cluster-2917.161701	ko04151
Cluster-2917.3928	ko04151
Cluster-1008.0	ko04151
Cluster-2917.62727	ko04151
Cluster-2917.120618	ko04151
